property_id,location,latitude,longitude,sqft,BHK,buy_year,sell_year,buy_price,sell_price
1,Whitefield,12.979272,77.758987,2412,5,2022,2026,13364480,19412819
2,BTM,12.916413,77.617348,1559,1,2017,2021,11086197,16364479
3,Electronic City,12.847412,77.652193,1146,5,2016,2020,5237140,7945637
4,BTM,12.921813,77.604884,3348,4,2016,2020,21260952,31743711
5,BTM,12.919638,77.613764,2254,5,2019,2023,14240403,17612491
6,Jayanagar,12.921751,77.591159,3112,3,2017,2020,33936223,42587442
7,Indiranagar,12.974443,77.641036,984,5,2020,2025,12266379,21512797
8,Whitefield,12.96908,77.741377,1758,1,2021,2022,8923527,9710019
9,Indiranagar,12.97093,77.64487,3646,5,2022,2026,42075825,51953214
10,Electronic City,12.840461,77.665972,3330,3,2021,2023,15708980,17499811
11,Whitefield,12.973198,77.744418,3604,5,2021,2026,20542516,32031926
12,BTM,12.907335,77.615374,3647,4,2019,2023,23679958,35666073
13,Jayanagar,12.930631,77.584941,3860,3,2017,2021,41004028,58187568
14,Jayanagar,12.920755,77.603062,3161,5,2015,2016,34668661,38396466
15,Electronic City,12.845565,77.669779,3673,4,2021,2022,17123826,18315575
16,Indiranagar,12.969438,77.642459,2828,5,2016,2017,31331815,34807868
17,Whitefield,12.961081,77.754766,746,1,2015,2020,3770055,5676881
18,Whitefield,12.974995,77.743172,2513,3,2019,2023,13941544,19044017
19,Indiranagar,12.96982,77.640249,3099,5,2016,2020,39062847,60910595
20,Jayanagar,12.930955,77.598903,2546,1,2015,2020,29581657,42178440
21,Jayanagar,12.923422,77.59735,3263,4,2022,2026,35160776,50130173
22,Whitefield,12.977293,77.743579,1243,2,2016,2021,6497554,8419816
23,Indiranagar,12.966745,77.649223,2103,1,2022,2024,23559632,27659124
24,Whitefield,12.970425,77.748399,3325,3,2017,2022,18253889,31045307
25,Electronic City,12.843075,77.655209,2654,4,2015,2020,11266566,14717358
26,Jayanagar,12.934281,77.59775,2996,3,2016,2021,34957745,56274034
27,BTM,12.922399,77.60507,854,4,2022,2023,6228481,6859653
28,Hebbal,13.038615,77.598004,3273,5,2019,2020,23723063,24951020
29,Jayanagar,12.916463,77.601026,869,2,2022,2026,8755046,11236030
30,Jayanagar,12.93262,77.589499,1228,2,2018,2020,14455310,17807492
31,Electronic City,12.851238,77.666495,3441,2,2017,2018,14937872,16026473
32,BTM,12.917014,77.605243,1101,2,2015,2019,7122866,8799197
33,Jayanagar,12.922246,77.591391,3847,2,2015,2020,41556278,70768760
34,Hebbal,13.042567,77.596472,1873,2,2017,2020,13686350,19023531
35,Electronic City,12.836233,77.655493,2031,4,2016,2018,9986314,11158261
36,Hebbal,13.042576,77.604969,2723,5,2015,2017,21804531,25429602
37,Jayanagar,12.921688,77.602453,2686,3,2019,2020,28853518,30503702
38,Jayanagar,12.933741,77.592859,3547,1,2018,2019,40264555,42333441
39,Indiranagar,12.973921,77.644772,2896,5,2019,2022,35221499,45010493
40,Electronic City,12.836177,77.664117,3063,1,2019,2023,13051037,16148383
41,Hebbal,13.026433,77.589761,2659,4,2020,2022,23072418,27520095
42,Jayanagar,12.917241,77.601961,741,5,2017,2022,7539151,10775672
43,Electronic City,12.843319,77.669656,2082,2,2021,2022,9884244,10829577
44,BTM,12.924837,77.616963,3685,1,2018,2020,26939784,30765120
45,Electronic City,12.845353,77.659328,1729,5,2015,2018,7399317,9779049
46,Hebbal,13.043307,77.597029,3065,2,2017,2018,23753426,25628631
47,BTM,12.923548,77.613509,3349,3,2017,2019,22955119,25495838
48,Whitefield,12.963269,77.750491,3304,1,2021,2025,17414228,21310767
49,BTM,12.911121,77.616027,3116,1,2017,2022,21443157,33726268
50,Jayanagar,12.921347,77.587761,2400,3,2017,2021,24688423,30406325
51,Hebbal,13.043219,77.605404,3716,5,2017,2021,27373918,36192406
52,Electronic City,12.851112,77.667013,2499,3,2022,2024,11121913,13069192
53,Whitefield,12.975547,77.756834,1223,2,2019,2020,6134594,6661255
54,BTM,12.913193,77.610943,1221,2,2016,2021,9336874,16151291
55,BTM,12.925386,77.605861,2534,1,2018,2020,17045082,20220212
56,Jayanagar,12.91798,77.584077,749,5,2018,2021,8515332,10215093
57,BTM,12.908564,77.60837,944,2,2019,2021,6085846,7316622
58,Jayanagar,12.915666,77.592531,3309,1,2017,2022,36988173,49639818
59,Jayanagar,12.922328,77.588447,3859,1,2022,2027,46296043,62374240
60,BTM,12.918761,77.613814,2403,3,2019,2020,15351949,16819801
61,Hebbal,13.026976,77.599564,3716,1,2019,2023,31237969,44409696
62,Hebbal,13.032266,77.593374,3139,5,2019,2024,24868447,40143871
63,Jayanagar,12.917784,77.597355,3294,3,2015,2016,36061359,39112763
64,Whitefield,12.977671,77.742451,3307,4,2020,2023,18326227,23655709
65,Electronic City,12.844199,77.663219,2216,4,2021,2022,9696141,10592582
66,Electronic City,12.850045,77.665751,2410,3,2022,2027,11870633,17506623
67,Whitefield,12.975667,77.751716,3572,2,2015,2016,17946130,19203235
68,Indiranagar,12.981136,77.635205,1016,4,2021,2023,13353724,15027829
69,Whitefield,12.964054,77.740594,3880,2,2016,2017,20994620,22514603
70,Jayanagar,12.919758,77.59393,2149,4,2020,2022,21410746,24497339
71,Hebbal,13.044948,77.59289,3365,1,2018,2022,27200834,40075898
72,Jayanagar,12.920946,77.596889,1066,1,2019,2021,11767164,14494397
73,Jayanagar,12.924205,77.595256,3171,2,2022,2024,33796628,39524109
74,Hebbal,13.042404,77.598521,851,1,2022,2025,6696797,8368446
75,Indiranagar,12.967878,77.64804,709,3,2021,2026,7796163,12417714
76,Whitefield,12.970287,77.750438,3024,4,2017,2020,16169023,21123139
77,Whitefield,12.972309,77.75505,1121,4,2016,2019,6093495,7578201
78,BTM,12.911835,77.606636,2994,2,2019,2022,22691882,28929707
79,Electronic City,12.836257,77.662565,2339,3,2018,2019,10866149,12010590
80,Jayanagar,12.924054,77.592212,2165,3,2015,2017,25856931,32166816
81,Indiranagar,12.970529,77.644395,962,4,2018,2019,12141849,13557164
82,Hebbal,13.029933,77.595292,849,3,2022,2023,6762106,7161211
83,Electronic City,12.851319,77.6693,2220,4,2019,2021,10504984,12582298
84,Electronic City,12.845385,77.667521,630,1,2021,2024,2893708,3741138
85,Hebbal,13.040629,77.596053,1717,5,2020,2025,13690718,20783481
86,Hebbal,13.033708,77.590805,1444,2,2019,2023,11547332,16101018
87,Hebbal,13.041187,77.600604,1571,2,2017,2018,13725011,14691976
88,Whitefield,12.974829,77.749226,2451,2,2016,2017,12948397,14194564
89,BTM,12.911765,77.617577,3314,2,2018,2023,23381337,38418285
90,Electronic City,12.849804,77.65694,2266,4,2019,2020,10232469,11301768
91,BTM,12.926338,77.616681,916,4,2018,2019,7040340,7537008
92,Whitefield,12.968934,77.752432,2114,3,2015,2016,10815209,11368157
93,Electronic City,12.844206,77.667614,3910,5,2016,2021,16973231,23523817
94,BTM,12.915905,77.610598,3339,2,2016,2021,22267580,29439882
95,Indiranagar,12.980224,77.63716,1299,1,2020,2025,15219630,23533053
96,Hebbal,13.035521,77.589111,2549,1,2021,2025,19806153,27089051
97,BTM,12.923714,77.603697,3914,5,2020,2025,26490984,46430518
98,BTM,12.922737,77.615949,615,2,2021,2023,4559447,5231430
99,Hebbal,13.030235,77.604481,1268,5,2022,2023,10093573,10698338
100,Electronic City,12.852671,77.654882,2153,3,2015,2020,8735480,15280085
101,Hebbal,13.031666,77.588342,635,2,2020,2025,5190530,7927843
102,Jayanagar,12.915759,77.595336,1242,3,2020,2024,14851763,22257154
103,Whitefield,12.976497,77.742194,2555,1,2021,2024,15287522,19427529
104,BTM,12.914573,77.603202,3660,1,2018,2022,23426563,31866831
105,Indiranagar,12.968031,77.63382,3411,5,2015,2017,40503530,46891295
106,Whitefield,12.963202,77.75434,2120,5,2015,2018,10660951,13807527
107,Electronic City,12.843062,77.664612,3052,2,2021,2026,14308289,20114301
108,Electronic City,12.841985,77.652523,3125,5,2019,2023,13606468,21257122
109,BTM,12.923776,77.61353,3626,1,2019,2022,24389602,32104519
110,Jayanagar,12.924823,77.598652,1934,2,2017,2018,20166914,22083217
111,Hebbal,13.037584,77.603063,1019,1,2021,2023,8036381,9066784
112,Indiranagar,12.978825,77.646503,3408,4,2021,2024,40354355,56544845
113,Electronic City,12.854055,77.663482,2497,2,2018,2022,11778220,14407954
114,Indiranagar,12.972604,77.633378,1652,5,2018,2023,21608830,28510173
115,Electronic City,12.837521,77.657439,927,5,2022,2027,4068278,6228760
116,Jayanagar,12.926547,77.588431,3131,3,2020,2023,31960727,43865848
117,Jayanagar,12.917096,77.601772,2276,2,2019,2020,26107669,28613835
118,Indiranagar,12.97557,77.650955,1037,5,2022,2023,12283203,13744946
119,Whitefield,12.976296,77.7411,968,5,2022,2025,5478676,7138706
120,BTM,12.908029,77.617892,2707,3,2022,2025,18234530,21507277
121,BTM,12.911394,77.619995,2425,1,2020,2025,18166198,30621060
122,Electronic City,12.848933,77.665059,842,4,2020,2024,3722268,4543437
123,Electronic City,12.847876,77.669556,2057,3,2015,2016,8804561,9522449
124,Indiranagar,12.971938,77.648708,1754,4,2017,2018,23008639,25642357
125,Jayanagar,12.925589,77.600655,620,3,2017,2020,6581827,8915990
126,Hebbal,13.029807,77.589947,1501,4,2015,2018,11883656,15494886
127,BTM,12.922758,77.609169,3704,4,2015,2019,28080720,35754687
128,Indiranagar,12.981158,77.633267,2371,2,2018,2022,30746404,43675862
129,Electronic City,12.836495,77.669584,3319,5,2021,2022,14073351,14968264
130,Jayanagar,12.925814,77.593964,1078,4,2017,2020,12209727,16206858
131,Whitefield,12.966254,77.75019,1969,2,2022,2023,10024883,10703347
132,Jayanagar,12.915967,77.602091,1876,3,2021,2024,22387075,30617369
133,BTM,12.914003,77.606557,2990,3,2019,2021,22575703,25721140
134,Jayanagar,12.918616,77.596898,2694,3,2019,2021,29666700,35245825
135,Hebbal,13.03848,77.597588,1599,4,2015,2020,12795081,21343167
136,Whitefield,12.974312,77.751404,2960,3,2016,2021,15278965,24161886
137,Jayanagar,12.916931,77.603619,3292,1,2018,2021,33583134,46015642
138,Hebbal,13.038307,77.587568,3549,5,2017,2021,31134103,42779228
139,Electronic City,12.837599,77.652234,1558,5,2016,2019,7483032,9107138
140,Jayanagar,12.927933,77.58753,3064,2,2020,2022,36250106,44841163
141,Indiranagar,12.963908,77.634663,3336,5,2020,2023,40392468,47825654
142,Jayanagar,12.92336,77.595698,3762,2,2020,2021,40509814,43546401
143,Indiranagar,12.96461,77.649883,2531,5,2019,2023,30412878,38324212
144,Jayanagar,12.925423,77.593787,1356,4,2020,2025,15329898,25051351
145,Hebbal,13.035526,77.593756,1332,5,2016,2017,11452597,12657649
146,Indiranagar,12.980013,77.639545,2638,4,2020,2024,30066492,42626025
147,Hebbal,13.043897,77.587772,2777,3,2018,2019,23319766,24986237
148,BTM,12.909691,77.606679,3894,5,2016,2019,26885153,36128648
149,Whitefield,12.967217,77.750261,3700,3,2017,2020,21928659,28196627
150,BTM,12.911059,77.613798,2263,4,2015,2016,17356944,18881448
151,Jayanagar,12.930123,77.589921,652,3,2018,2021,7046235,8386375
152,Indiranagar,12.965706,77.638356,649,4,2021,2024,7476886,8781692
153,Whitefield,12.978388,77.745503,1312,2,2017,2020,7136949,8606585
154,Electronic City,12.852466,77.664838,1619,3,2018,2023,7033193,9099069
155,Whitefield,12.968152,77.749873,1929,5,2021,2022,10063505,10719083
156,Indiranagar,12.969863,77.635026,1979,3,2018,2023,23396358,36457315
157,Jayanagar,12.921674,77.592471,3363,5,2016,2018,36381202,43652372
158,Whitefield,12.96533,77.745083,1330,4,2021,2023,7334629,8855869
159,Whitefield,12.972827,77.757231,3816,1,2021,2024,19937010,25661443
160,Electronic City,12.837929,77.667372,1468,5,2017,2021,7023760,9048815
161,Indiranagar,12.970717,77.640416,2577,5,2019,2023,30409888,39208894
162,BTM,12.916876,77.603429,1390,5,2021,2025,9143603,12991196
163,Hebbal,13.033096,77.589028,2462,1,2020,2022,18416270,20545443
164,Indiranagar,12.962205,77.632888,679,4,2017,2019,7930478,9946913
165,Electronic City,12.84553,77.658193,3087,3,2022,2023,13437012,14806660
166,Whitefield,12.979511,77.741139,3100,1,2017,2019,17346577,20330297
167,BTM,12.919176,77.608118,2912,1,2020,2022,18918432,20877755
168,BTM,12.925827,77.603672,2360,2,2016,2021,16729616,22223236
169,Electronic City,12.84722,77.66365,2084,1,2017,2019,9233681,11075234
170,Hebbal,13.033444,77.589536,854,1,2019,2023,6311000,9930311
171,Electronic City,12.846409,77.655782,1296,1,2021,2025,5583753,6882058
172,Jayanagar,12.928511,77.588685,2987,2,2018,2023,30031312,43696530
173,Hebbal,13.042746,77.599318,1458,2,2016,2018,11621350,13594462
174,Indiranagar,12.969442,77.650142,725,5,2022,2025,8136050,10860232
175,Whitefield,12.967501,77.741339,2254,5,2021,2023,11436169,13027019
